prod_code,prod_id,prod_desc,scan_code,prod_group_code,prod_group_desc,prod_group_status_code,prod_alt_status_code,prod_type_code,brand_name,class_name,unit_price_uom_qty,launch_date,carton_pack_qty,uom_type_code,prod_merch_l10_code,prod_merch_l10_id,prod_merch_l10_desc,prod_merch_l20_code,prod_merch_l20_id,prod_merch_l20_desc,prod_merch_l30_code,prod_merch_l30_id,prod_merch_l30_desc,prod_merch_l40_code,prod_merch_l40_id,prod_merch_l40_desc,prod_comml_l10_code,prod_comml_l10_id,prod_comml_l10_desc,prod_comml_l20_code,prod_comml_l20_id,prod_comml_l20_desc,prod_comml_l30_code,prod_comml_l30_id,prod_comml_l30_desc,prod_comml_l40_code,prod_comml_l40_id,prod_comml_l40_desc,prod_comml_l50_code,prod_comml_l50_id,prod_comml_l50_desc,prod_buyer_l10_code,prod_buyer_l10_id,prod_buyer_l10_desc,prod_buyer_l20_code,prod_buyer_l20_id,prod_buyer_l20_desc,prod_buyer_l30_code,prod_buyer_l30_id,prod_buyer_l30_desc,prod_buyer_l40_code,prod_buyer_l40_id,prod_buyer_l40_desc,prod_buyer_l50_code,prod_buyer_l50_id,prod_buyer_l50_desc,prod_buyer_l60_code,prod_buyer_l60_id,prod_buyer_l60_desc,prod_buyer_l70_code,prod_buyer_l70_id,prod_buyer_l70_desc,prod_hybrid_l10_code,prod_hybrid_l10_id,prod_hybrid_l10_desc,prod_hybrid_l20_code,prod_hybrid_l20_id,prod_hybrid_l20_desc,prod_hybrid_l30_code,prod_hybrid_l30_id,prod_hybrid_l30_desc,prod_hybrid_l40_code,prod_hybrid_l40_id,prod_hybrid_l40_desc,skeleton_flag,prod_group_id
8711700822886_72807411,66239468,VO5 GIVE ME TEXTURE SHAMPOO 500ML,8711700822886,72807411,VO5 GIVE ME TEXTURE SHAMPOO 500ML,Deleted,Deleted,Food,VO5,"Health, Beauty & Wellness",500.00,2013-01-06T00:00:00.000Z,1,ML,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,35402399
5052910500731_73067777,66291724,TESCO RASPBERRY & POMEGRANATE SHAMPOO 500ML,5052910500731,73067777,TESCO RASPBERRY & POMEGRANATE SHAMPOO 500ML,Authorised,Authorised,Food,TESCO,"Health, Beauty & Wellness",500.00,2013-02-17T00:00:00.000Z,1,ML,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,35428728
8717163011478_58391608,64903652,TIMOTEI SHAMPOO SOFT & SMOOTH 300ML,8717163011478,58391608,TIMOTEI SHAMPOO SOFT & SMOOTH 300ML,Deleted,Deleted,Food,TIMOTEI,"Baby, Beauty & Toiletries",300.00,2006-03-12T00:00:00.000Z,0,ML,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,34200587
5000358352078_50982932,63770730,COLET EARTH MOISTURISING SHAMPOO 400ML,5000358352078,50982932,COLET EARTH MOISTURISING SHAMPOO 400ML,Unauthorised,Unauthorised,Food,TESCO,"Baby, Beauty & Toiletries",1.00,2004-12-22T00:00:00.000Z,0,SNGL,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,33864466
5000174605877_50713152,63647625,RATIO CDU1 HERBAL ESSENCES P8,5000174605877,50713152,RATIO CDU1 HERBAL ESSENCES P8,Deleted,Deleted,Food,PANTENE,"Baby, Beauty & Toiletries",1.00,2004-09-12T00:00:00.000+01:00,0,SNGL,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,33909329
3600520432977_50384995,63677544,ELVIVE REGENIUM AGE-DEFYING S/POO 250ML,3600520432977,50384995,ELVIVE REGENIUM AGE-DEFYING S/POO 250ML,Deleted,Deleted,Food,ELVIVE,"Baby, Beauty & Toiletries",250.00,2004-10-17T00:00:00.000+01:00,0,ML,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,33857590
5012583049630_57110013,63937374,SUPERSOFT SHAMPOO BALANCING 300ML,5012583049630,57110013,SUPERSOFT SHAMPOO BALANCING 300ML,Deleted,Deleted,Food,SUPERSOFT,"Baby, Beauty & Toiletries",600.00,2002-09-15T00:00:00.000+01:00,0,ML,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,34042038
5012254059593_59262630,63927452,ALBERTO BALSAM FREE ME FREESIA SHAMPOO 400ML,5012254059593,59262630,ALBERTO BALSAM FREE ME FREESIA SHAMPOO 400ML,Deleted,Deleted,Food,ALBERTO BALSAM,"Baby, Beauty & Toiletries",400.00,2006-07-17T00:00:00.000+01:00,0,ML,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,34325113
8001841272092_86506786,82052252,PANTENE HARD WATER SHIELD SHAMPOO 500ML,8001841272092,86506786,PANTENE HARD WATER SHIELD SHAMPOO 500ML,Authorised,Authorised,Food,PANTENE,"Health, Beauty & Wellness",500.00,2019-04-01T00:00:00.000+01:00,0,ML,N55GA,661016,SHAMPOO,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GA,645185,SHAMPOO,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GA,4263,SHAMPOO,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GA,552248,SHAMPOO,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,40682688
3600521099698_61277472,63653780,ELVIVE ANTI- DANDRUFF INTENSE2IN1 SPOO 400ML,3600521099698,61277472,ELVIVE ANTI- DANDRUFF INTENSE2IN1 SPOO 400ML,Deleted,Deleted,Food,ELVIVE,"Baby, Beauty & Toiletries",400.00,2007-08-05T00:00:00.000+01:00,0,ML,N55GE,662440,2IN1 SHAMPOO/CONDITIONER,N3E,373137,SHAMPOO & CONDITIONERS,N3,140413,HEALTH & BEAUTY,N,110164,NON FOOD GROCERY,N55GE,646580,2IN1 SHAMPOO/CONDITIONER,N55G,334308,HAIRCARE,N55,231241,TOILETRIES,N5,160345,HEALTH & BEAUTY,N,130113,NON FOODS GROCERY,N55GE,506,2IN1 SHAMPOO/CONDITIONER,HAIRCAR E.,7017,HAIRCAR E.,HAIRCAR E.,7054,HAIRCAR E.,TOILETRIE S.,6598,TOILETRIE S.,HB&WELLNES S.,6650,HB&WELLNES S.,PACKAGE D.,6696,PACKAGE D.,BRASHER R.,6702,BRASHER R.,N55GE,553672,2IN1 SHAMPOO/CONDITIONER,N3E,293176,SHAMPOO & CONDITIONERS,51,2400341,"Health, Beauty & Wellness",G,130036,Grocery,N,34503509
